"Date","Price","Open","High","Low","Change %"
"07/18/2023","5.412","5.457","5.457","5.407","0.17%"
"07/17/2023","5.403","5.392","5.457","5.392","-0.15%"
"07/14/2023","5.411","5.427","5.456","5.390","0.30%"
"07/13/2023","5.395","5.454","5.476","5.388","-0.07%"
"07/12/2023","5.399","5.417","5.451","5.388","-0.24%"
"07/11/2023","5.412","5.450","5.450","5.407","0.41%"
"07/10/2023","5.390","5.401","5.432","5.365","0.04%"
"07/07/2023","5.388","5.425","5.443","5.358","0.15%"
"07/06/2023","5.380","5.389","5.467","5.352","0.37%"
"07/05/2023","5.360","5.400","5.400","5.345","-0.46%"
"07/04/2023","5.385","5.385","5.385","5.385","1.35%"
"07/03/2023","5.313","5.349","5.493","5.311","-0.19%"
"06/30/2023","5.323","5.380","5.469","5.304","-0.47%"
"06/29/2023","5.348","5.373","5.518","5.341","0.32%"
"06/28/2023","5.331","5.341","5.341","5.331","-0.19%"
"06/27/2023","5.341","5.340","5.376","5.337","0.41%"
"06/26/2023","5.319","5.344","5.413","5.309","0.28%"
"06/23/2023","5.304","5.328","5.586","5.291","0.00%"
"06/22/2023","5.304","5.339","5.456","5.291","0.08%"
"06/21/2023","5.300","5.320","5.344","5.263","1.28%"
"06/20/2023","5.233","5.275","5.350","5.230","-0.85%"
"06/19/2023","5.278","5.285","5.285","5.278","0.85%"
"06/16/2023","5.233","5.265","5.390","5.226","0.19%"
"06/15/2023","5.223","5.297","5.372","5.218","-0.57%"
"06/14/2023","5.253","5.263","5.307","5.247","-0.19%"
"06/13/2023","5.263","5.304","5.342","5.243","0.08%"
"06/12/2023","5.259","5.287","5.302","5.237","-0.11%"
"06/09/2023","5.265","5.282","5.316","5.243","0.00%"
"06/08/2023","5.265","5.360","5.389","5.248","-1.00%"
"06/07/2023","5.318","5.324","5.324","5.288","-0.30%"
"06/06/2023","5.334","5.373","5.413","5.309","0.23%"
"06/05/2023","5.322","5.396","5.523","5.312","-1.32%"
"06/02/2023","5.393","5.437","5.516","5.380","0.15%"
"06/01/2023","5.385","5.472","5.547","5.380","-0.59%"
"05/31/2023","5.417","5.452","5.480","5.394","2.00%"
"05/30/2023","5.311","5.353","5.465","5.283","-0.85%"
"05/29/2023","5.357","5.354","5.357","5.354","0.65%"
"05/26/2023","5.322","5.360","5.463","5.292","-0.93%"
"05/25/2023","5.372","5.397","5.506","5.321","0.37%"
"05/24/2023","5.352","5.309","5.392","5.306","0.45%"
"05/23/2023","5.328","5.414","5.414","5.315","0.95%"
"05/22/2023","5.278","5.310","5.409","5.258","0.38%"
"05/19/2023","5.258","5.303","5.412","5.243","-0.68%"
"05/18/2023","5.294","5.293","5.425","5.243","0.63%"
"05/17/2023","5.261","5.244","5.277","5.197","0.80%"
"05/16/2023","5.219","5.244","5.244","5.185","0.83%"
"05/15/2023","5.176","5.253","5.300","5.152","-0.77%"
"05/12/2023","5.216","5.230","5.274","5.168","0.62%"
"05/11/2023","5.184","5.259","5.381","5.167","-0.92%"
"05/10/2023","5.232","5.254","5.319","5.212","-0.93%"
"05/09/2023","5.281","5.284","5.325","5.234","0.51%"
"05/08/2023","5.254","5.255","5.302","5.224","-0.21%"
"05/05/2023","5.265","5.264","5.393","5.228","-0.06%"
"05/04/2023","5.268","5.249","5.550","5.199","0.19%"
"05/03/2023","5.258","5.254","5.277","5.197","0.59%"
"05/02/2023","5.227","5.214","5.291","5.185","3.48%"
"05/01/2023","5.051","5.095","5.126","5.019","-1.04%"
"04/28/2023","5.104","5.170","5.282","5.069","-1.75%"
"04/27/2023","5.195","5.147","5.271","5.139","1.01%"
"04/26/2023","5.143","5.137","5.186","5.101","0.45%"
"04/25/2023","5.120","5.177","5.200","5.096","1.17%"
"04/24/2023","5.061","5.108","5.237","5.022","-1.09%"
"04/21/2023","5.117","5.134","5.220","5.074","0.31%"
"04/20/2023","5.101","5.186","5.318","5.084","-1.03%"
"04/19/2023","5.154","5.208","5.208","5.129","-0.69%"
"04/18/2023","5.190","5.193","5.239","5.164","1.61%"
"04/17/2023","5.108","5.116","5.289","5.063","0.24%"
"04/14/2023","5.096","5.056","5.308","5.009","1.35%"
"04/13/2023","5.028","5.080","5.175","5.001","0.30%"
"04/12/2023","5.013","5.073","5.080","4.989","-0.42%"
"04/11/2023","5.034","5.102","5.107","5.000","0.64%"
"04/10/2023","5.002","4.906","5.035","4.845","1.11%"
"04/07/2023","4.947","4.926","4.926","4.926","1.27%"
"04/06/2023","4.885","4.911","5.007","4.815","0.70%"
"04/05/2023","4.851","4.874","4.874","4.823","-0.70%"
"04/04/2023","4.885","4.881","4.956","4.862","3.08%"
"04/03/2023","4.739","4.810","4.998","4.723","-1.31%"
"03/31/2023","4.802","4.900","4.984","4.755","-0.25%"
"03/30/2023","4.814","4.781","4.918","4.754","0.86%"
"03/29/2023","4.773","4.828","4.856","4.734","0.04%"
"03/28/2023","4.771","4.767","4.904","4.758","0.40%"
"03/27/2023","4.752","4.714","4.809","4.639","1.88%"
"03/24/2023","4.665","4.687","4.805","4.579","-0.14%"
"03/23/2023","4.671","4.768","4.928","4.635","-1.02%"
"03/22/2023","4.719","4.823","4.823","4.695","-0.72%"
"03/21/2023","4.753","4.676","4.880","4.676","2.88%"
"03/20/2023","4.620","4.444","4.661","4.441","3.61%"
"03/17/2023","4.459","4.754","4.794","4.418","-5.29%"
"03/16/2023","4.708","4.716","4.838","4.661","-0.99%"
"03/15/2023","4.755","4.942","4.978","4.656","-1.67%"
"03/14/2023","4.836","4.798","5.003","4.798","0.12%"
"03/13/2023","4.830","4.934","5.043","4.612","-2.52%"
"03/10/2023","4.955","5.014","5.024","4.911","-1.10%"
"03/09/2023","5.010","5.036","5.061","4.988","-0.52%"
"03/08/2023","5.036","5.010","5.059","4.978","0.46%"
"03/07/2023","5.013","4.889","5.003","4.885","2.89%"
"03/06/2023","4.872","4.872","4.910","4.848","-0.06%"
"03/03/2023","4.875","4.871","4.908","4.841","0.12%"
"03/02/2023","4.869","4.877","4.910","4.828","0.04%"
